channel_type,row_index,이름,회원수,등록일,주소,조회수,결과,메모,이메일 주소,전화번호,홈페이지 주소,삭제일,본분교,학제,지역,설립구분,우편번호,학교명(영문),학교홈페이지,총장명,"학교대표
번호","학교대표
팩스번호",담당연락처,언론/과학문화 담당,대표전화
공모전,7,인크루트,,2025. 1. 1.,https://gongmo.incruit.com/info/gongmolistinfo.asp?contestno=202509300000,156.0,https://gongmo.incruit.com/info/gongmolistinfo.asp?contestno=202509300000,,,,,,,,,,,,,,,,,,
공모전,8,공모전알고,,2025. 1. 1.,https://www.contestalgo.com/sub/contest_view.php?num=8008,926.0,https://www.contestalgo.com/sub/contest_view.php?num=8295,,,,,,,,,,,,,,,,,,
공모전,9,공모탑,13.0,2025. 1. 1.,https://www.gongmotop.com/bbs/board.php?bo_table=b0101&wr_id=8305,11.0,https://www.gongmotop.com/bbs/board.php?bo_table=b0101&wr_id=8579,,,,,,,,,,,,,,,,,,
공모전,10,대티즌,,2025. 1. 1.,https://www.detizen.com/contest/view/0/6899aba8452ce905d1fa77e6,,,,,,,,,,,,,,,,,,,,
공모전,11,더콘테스트,,2025. 1. 1.,,,,홈페이지접속불가,,,,,,,,,,,,,,,,,
공모전,12,데모데이,21.0,2025. 1. 1.,http://www.demoday.co.kr/community/event/3294,279.0,http://www.demoday.co.kr/community/event/3399,,,,,,,,,,,,,,,,,,
공모전,13,링커리어(Linkareer),297.0,2025. 1. 1.,https://linkareer.com/activity/254347,503.0,https://linkareer.com/activity/276040,,,,,,,,,,,,,,,,,,
공모전,14,슈퍼루키,,2025. 1. 1.,https://www.superookie.com/activities/686f4457034fab484a66df6a,,,,,,,,,,,,,,,,,,,,
공모전,15,스팩토리,,2025. 1. 1.,https://www.spectory.net/search/results?searchTxt=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,,https://www.spectory.net/pages/mypage/manager,,,,,,,,,,,,,,,,,,
공모전,16,위비티,,2025. 1. 1.,https://www.wevity.com/,,,검토중,,,,,,,,,,,,,,,,,
공모전,17,캠퍼즈,,2025. 1. 1.,https://www.campuz.net/index.php?mid=upload_contest&document_srl=477681,0.0,https://www.campuz.net/index.php?mid=upload_contest&document_srl=483411,,,,,,,,,,,,,,,,,,
공모전,18,컬처플,,2025. 1. 1.,https://www.cultureple.com/?c=challenge&s=1&gp=1&ob=idx&gbn=viewok&ix=27167,0.0,https://www.cultureple.com/?c=challenge&s=1&gp=1&ob=idx&gbn=viewok&ix=27301,,,,,,,,,,,,,,,,,,
공모전,19,코워커(co-worker),6212.0,2025. 1. 1.,https://co-worker.co.kr/Contest/contest_view?idx=13074,32726.0,https://co-worker.co.kr/Contest/contest_view?idx=13729,,,,,,,,,,,,,,,,,,
공모전,20,콘테스트 코리아,98.0,2025. 1. 1.,https://www.contestkorea.com/sub/view.php?displayrow=20&int_gbn=1&Txt_key=all&Txt_word=&Txt_sortkey=a.int_sort&Txt_sortword=desc&page=1&int_gbn=1&Txt_bcode=030310001&str_no=202507100062,,,검토중,,,,,,,,,,,,,,,,,
공모전,21,패스타,,2025. 1. 1.,,,,홈페이지리뉴얼중,,,,,,,,,,,,,,,,,
공모전,22,g콘테스트,13.0,2025. 1. 1.,https://gcontest.co.kr/front/m/comp/view/26847,26.0,https://gcontest.co.kr/front/m/comp/view/29880,,,,,,,,,,,,,,,,,,
포털카페,0,"인공지능 스타트업 커뮤니티, AI startup community",,2025. 9. 1.,https://cafe.naver.com/2018startup/6867,11.0,https://cafe.naver.com/2018startup/6867,,,,,,,,,,,,,,,,,,
포털카페,1,대학홍보마케팅전문가카페,212.0,2025. 1. 1.,https://cafe.naver.com/aduniv/4656,2.0,https://cafe.naver.com/aduniv?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D17929772%2526articleid%3D4684%2526menuid%3D2%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,2,폴리텍대학 대전캠퍼스전기전자제어과 인공지능 개론,117.0,2025. 1. 1.,https://cafe.naver.com/ai2022/808,2.0,https://cafe.naver.com/ai2022?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30670410%2526articleid%3D821%2526menuid%3D1%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,3,한국인공지능커뮤니티,1005.0,2025. 1. 1.,https://cafe.naver.com/ai4kr/1036,2.0,https://cafe.naver.com/ai4kr?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30409079%2526articleid%3D1076%2526menuid%3D1%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,4,인공지능을 꿈꾸는 사람들,602.0,2025. 1. 1.,https://cafe.naver.com/aidreaming/768,4.0,https://cafe.naver.com/aidreaming?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D25716140%2526articleid%3D787%2526menuid%3D5%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,5,AI 매니아 - 인공지능비서 네이버 대표카페,171.0,2025. 1. 1.,https://cafe.naver.com/aimania/240,6.0,https://cafe.naver.com/aimania?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D28910660%2526articleid%3D255%2526menuid%3D1%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,6,Artificial Intelligence Researchers,,2025. 9. 1.,https://cafe.naver.com/airesearchers/3413,7.0,https://cafe.naver.com/airesearchers/3413,,,,,,,,,,,,,,,,,,
포털카페,7,알기쉬운 정보보안기사/정보보안산업기사,,2025. 9. 1.,https://cafe.naver.com/algisa/65386,47.0,https://cafe.naver.com/algisa/65386,,,,,,,,,,,,,,,,,,
포털카페,8,대학시절 경력쌓기,894.0,2025. 1. 1.,https://cafe.naver.com/betterfuture1/5845,1.0,https://cafe.naver.com/betterfuture1?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D17002564%2526articleid%3D5905%2526menuid%3D49%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,9,선한인공지능연구소,1837.0,2025. 1. 1.,https://cafe.naver.com/coyedu/38927,1.0,https://cafe.naver.com/coyedu?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D19384686%2526articleid%3D38954%2526menuid%3D788%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,10,다음 세상을 대비하는 소프트웨어 협동조합,206.0,2025. 1. 1.,https://cafe.naver.com/danmuzy/2246,1.0,https://cafe.naver.com/danmuzy?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D10660029%2526articleid%3D2259%2526menuid%3D65%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,11,정보나눔대학생카페,9536.0,2025. 1. 1.,https://cafe.naver.com/davidfm/82864,1.0,https://cafe.naver.com/davidfm?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D20419340%2526articleid%3D83512%2526menuid%3D236%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,12,공모전으로 취업하자! ★공모전/인턴/취업박람회★,5211.0,2025. 1. 1.,https://cafe.naver.com/dcontest/54542,2.0,https://cafe.naver.com/dcontest?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D12301611%2526articleid%3D54933%2526menuid%3D3%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,13,펀디 (Fun.D) IT 프로젝트 커뮤니티,1255.0,2025. 1. 1.,https://cafe.naver.com/eofl7942/2384,2.0,https://cafe.naver.com/eofl7942?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D27607764%2526articleid%3D2502%2526menuid%3D73%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,14,!!공모전 으로 뚫자 !!!! 취업대란,1970.0,2025. 1. 1.,https://cafe.naver.com/gongmojun/11321,1.0,https://cafe.naver.com/gongmojun?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D10149239%2526articleid%3D11490%2526menuid%3D14%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,15,정보보안저문가 취업카페 스칼라 ,,2025. 9. 1.,https://cafe.naver.com/neteg/279548,12.0,https://cafe.naver.com/itscholar/70043,,,,,,,,,,,,,,,,,,
포털카페,16,"공연과문화[공연,문화,축제,전시,공모전,취업,알바,창업,자격증]",113211.0,2025. 1. 1.,https://cafe.naver.com/moolpas/2593314,1.0,https://cafe.naver.com/moolpas?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D10942133%2526articleid%3D2596120%2526menuid%3D51%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,17,IT인프라&네트워크 전문가 따라잡기,,,https://cafe.naver.com/neteg/279548,13.0,https://cafe.naver.com/neteg/279548,,,,,,,,,,,,,,,,,,
포털카페,18,알기사,,2025. 9. 1.,https://cafe.naver.com/peopleofit/128901,18.0,https://cafe.naver.com/peopleofit/128901,,,,,,,,,,,,,,,,,,
포털카페,19,전산실 사람들,,2025. 9. 1.,https://cafe.naver.com/itscholar/70043,4.0,https://cafe.naver.com/peopleofit/128901,,,,,,,,,,,,,,,,,,
포털카페,20,산업보안관리사 연합,,2025. 9. 1.,https://cafe.naver.com/sanbosa/8291,20.0,https://cafe.naver.com/sanbosa/8291,,,,,,,,,,,,,,,,,,
포털카페,21,데이터 전문가 포럼 (DPForum),191197.0,2025. 1. 1.,https://cafe.naver.com/sqlpd/90920,90.0,https://cafe.naver.com/sqlpd/95296,,,,,,,,,,,,,,,,,,
포털카페,22,SW 개발자 취업&이직 정보공유,,2025. 9. 1.,https://cafe.naver.com/workhub/24862,15.0,https://cafe.naver.com/workhub/24862,,,,,,,,,,,,,,,,,,
포털카페,23,갑취공,194.0,2025. 1. 1.,https://cafe.naver.com/0eagle0/1037,1.0,https://cafe.naver.com/0eagle0?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D15975313%2526articleid%3D1065%2526menuid%3D92%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,24,Artificial Intelligence Researchers,1723.0,2025. 1. 1.,https://cafe.naver.com/airesearchers/3306,6.0,https://cafe.naver.com/airesearchers?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30174813%2526articleid%3D3416%2526menuid%3D1%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,25,창업지원센터,3706.0,2025. 1. 1.,https://cafe.naver.com/alsoo/16066,1.0,https://cafe.naver.com/alsoo?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D24000553%2526articleid%3D16094%2526menuid%3D41%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,26,MOTIVE - 공모전의 모든것,105.0,2025. 1. 1.,https://cafe.naver.com/motive3be/5091,2.0,https://cafe.naver.com/motive3be?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30384112%2526articleid%3D5177%2526menuid%3D41%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,27,IT인프라&네트워크 전문가 따라잡기,126905.0,2025. 1. 1.,https://cafe.naver.com/neteg/277098,18.0,https://cafe.naver.com/neteg?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D10344409%2526articleid%3D279601%2526menuid%3D20%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,28,아라공,100693.0,2025. 1. 1.,https://cafe.naver.com/sdk800402/426874,5.0,https://cafe.naver.com/sdk800402?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D15249111%2526articleid%3D429296%2526menuid%3D554%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,29,스마트팜야학,355.0,2025. 1. 1.,https://cafe.naver.com/sfyahak/30873,2.0,https://cafe.naver.com/sfyahak?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30611638%2526articleid%3D30893%2526menuid%3D1%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,30,"제약회사 취업전문 ""파마메디잡""",59629.0,2025. 9. 1.,https://cafe.naver.com/1063216,0.0,https://cafe.naver.com/1063216?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D10444735%2526articleid%3D379708%2526menuid%3D715%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,31,"AI Startup community, AI 스타트업 커뮤니티",3124.0,2025. 9. 1.,https://cafe.naver.com/2018startup/6399?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6IjIwMThzdGFydHVwIiwiYXJ0aWNsZUlkIjo2Mzk5LCJpc3N1ZWRBdCI6MTc1MzY5MTYwMzQ5OH0.JBqJg4tOw3vDzs5tBlDTNYmST8r4srNS78FUR5mVv70,1.0,https://cafe.naver.com/2018startup?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D29302637%2526articleid%3D6940%2526menuid%3D1%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,32,[마케팅형] 실무 디지컬마케팅 쏙쏙 배울 수 있는 카페,632.0,2025. 1. 1.,https://cafe.naver.com/38005548/13514,0.0,https://cafe.naver.com/38005548?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30650226%2526articleid%3D13547%2526menuid%3D53%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,33,인공지능LLM RAG Lanchain개발자모임,1297.0,2025. 1. 1.,https://cafe.naver.com/aidev/997,3.0,https://cafe.naver.com/aidev?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30081332%2526articleid%3D1217%2526menuid%3D1%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,34,인공지능과 교육,31.0,2025. 1. 1.,https://cafe.naver.com/aied/162,0.0,https://cafe.naver.com/aied?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30008659%2526articleid%3D177%2526menuid%3D1%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,35,AI World 인공지능 ( ChatGPT | BingAI | Google Bard ),676.0,2025. 9. 1.,https://cafe.naver.com/aiworldcafe/61633,0.0,https://cafe.naver.com/aiworldcafe?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30960143%2526articleid%3D61860%2526menuid%3D36%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,36,인사이드(inside),2568.0,2025. 9. 1.,https://cafe.naver.com/allcontests?iframe_url=%2FArticleRead.nhn%3Fclubid%3D26847419%26articleid%3D46155%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjo0NjE1NSwiY2FmZVVybCI6ImFsbGNvbnRlc3RzIiwiaXNzdWVkQXQiOjE3NTMxNjY1NTA0MDN9.RcTpmV7lDxQxwF1SygEZnl9_PhS6rTi9OXRCMOXqwEA%26query%3D%25EB%2584%25A4%25ED%258A%25B8%25EC%259B%258C%25ED%2581%25AC%2520%25EC%25A7%2580%25EB%258A%25A5%25ED%2599%2594%2520%25EC%259D%25B8%25EA%25B3%25B5%25EC%25A7%2580%25EB%258A%25A5%2520%25ED%2595%25B4%25EC%25BB%25A4%25ED%2586%25A4,0.0,https://cafe.naver.com/allcontests?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D26847419%2526articleid%3D48081%2526menuid%3D17%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,37,[안드로이] 안드로이드(Android) 개발자 커뮤니티,7656.0,2025. 9. 1.,https://cafe.naver.com/androi/21471,0.0,https://cafe.naver.com/androi?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D20032691%2526articleid%3D21512%2526menuid%3D2%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,38,안드로이드21 개발자 기술 교류 카페,3466.0,2025. 9. 1.,https://cafe.naver.com/android21/2407,0.0,https://cafe.naver.com/android21?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D20755628%2526articleid%3D2446%2526menuid%3D29%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,39,인데포 - 인공지능 데이터 전문가 포럼,34088.0,2025. 9. 1.,https://cafe.naver.com/artificialintellige/409,0.0,https://cafe.naver.com/artificialintellige?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30897051%2526articleid%3D541%2526menuid%3D5%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,40,AI매니아 ★ AI툴 활용&작품 (인공지능 글그림 영상음악 챗GPT),59597.0,2025. 9. 1.,https://cafe.naver.com/ball4u/680230,1.0,https://cafe.naver.com/ball4u?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D10571874%2526articleid%3D681339,,,,,,,,,,,,,,,,,,
포털카페,41,바이오 기업 취업정보 공유하기 - 바이오링크(BIOLINK),41875.0,2025. 9. 1.,https://cafe.naver.com/biolink,0.0,https://cafe.naver.com/biolink?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D13067159%2526articleid%3D123050%2526menuid%3D164%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,42,"CHATGPT 매니아 -챗지피티 사용법,gpt chat 한글 어플,챗GPT 앱",1293.0,2025. 9. 1.,https://cafe.naver.com/bobs79/1956,0.0,https://cafe.naver.com/f-e/cafes/27893151/articles/1997?boardtype=L&menuid=14&referrerAllArticles=false,,,,,,,,,,,,,,,,,,
포털카페,43,"돌 프로그래밍 카페 (개발자, 프리랜서, IT 프로그래머의 모임)",8751.0,2025. 9. 1.,https://cafe.naver.com/buldon/21068,0.0,https://cafe.naver.com/buldon?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D17799215%2526articleid%3D21448,,,,,,,,,,,,,,,,,,
포털카페,44,"취업뽀 ★ 취업 뽀개기 (대기업,공기업,공사공단,공공기관,NCS)",8535.0,2025. 9. 1.,https://cafe.naver.com/cafenema,1.0,https://cafe.naver.com/cafenema?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D27480756%2526articleid%3D31898%2526menuid%3D484%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,45,"코딩 커뮤니티 - 코뮤니티 [파이썬/C언어/자바/웹,앱개발/독학]",29973.0,2025. 1. 1.,https://cafe.naver.com/codeuniv/94612,2.0,https://cafe.naver.com/codeuniv?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30026525%2526articleid%3D95724,,,,,,,,,,,,,,,,,,
포털카페,46,"I ♡ Pharm。_ 국내외 제약,바이오 관련 채용 정보",3864.0,2025. 9. 1.,https://cafe.naver.com/cracrm,1.0,https://cafe.naver.com/f-e/cafes/23867457/articles/29603?boardtype=L&menuid=50&referrerAllArticles=false,,,,,,,,,,,,,,,,,,
포털카페,47,공취모,1065850.0,2025. 9. 1.,https://cafe.naver.com/dakchi?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D21160703%2526articleid%3D3025175%2526menuid%3D254%2526boardtype%3DL,12.0,https://cafe.naver.com/f-e/cafes/21160703/members/cX3ne3M9EarIXv2q81jnkVSQKFS9dear4-ADS9fZBQM?tab=articles,,,,,,,,,,,,,,,,,,
포털카페,48,데이터 분석 활용,4089.0,2025. 9. 1.,https://cafe.naver.com/datageeks/4573,0.0,https://cafe.naver.com/f-e/cafes/26910945/articles/4634?boardtype=L&menuid=13&referrerAllArticles=false,,,,,,,,,,,,,,,,,,
포털카페,49,"<외계인>외국계기업 채용,해외취업,자소서,레쥬메,커버레터,토스",54736.0,2025. 9. 1.,https://cafe.naver.com/doubleeight,0.0,https://cafe.naver.com/doubleeight?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D21871832%2526articleid%3D120967%2526menuid%3D441%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,50,진로 정보 창체마을,6912.0,2025. 1. 1.,https://cafe.naver.com/dreamdeo1/16036,2.0,https://cafe.naver.com/dreamdeo1?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D29039495%2526articleid%3D16215%2526menuid%3D44%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,51,"사이드프로젝트 팀빌딩부터 스타트업까지, 사이프로 Sipro",2325.0,기존 홍보채널 (경희대),https://cafe.naver.com/sidepro/2593,,,,,,,,,,,,,,,,,,,,
포털카페,52,IT취업 꿈꾸기 '아.이.꿈',4626.0,2025. 9. 1.,https://cafe.naver.com/dreamingit/31772,0.0,https://cafe.naver.com/f-e/cafes/21576449/menus/188?viewType=L,,,,,,,,,,,,,,,,,,
포털카페,53,인공지능,7.0,2025. 1. 1.,https://cafe.naver.com/ds344/57,0.0,https://cafe.naver.com/ds344?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D24802777%2526articleid%3D72%2526menuid%3D5%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,54,"{이지패스!} ADsP, SQLD (데이터분석준전문가, SQL개발자)",12813.0,2025. 9. 1.,https://cafe.naver.com/easyadsp/25462,1.0,https://cafe.naver.com/easyadsp?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D30362995%2526articleid%3D31146%2526menuid%3D93%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,55,AI 잘 활용하기,2613.0,2025. 9. 1.,https://cafe.naver.com/facebookapp/32513,1.0,https://cafe.naver.com/facebookapp?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D22370886%2526articleid%3D32558,,,,,,,,,,,,,,,,,,
포털카페,56,인잇(init) ,44887.0,2025. 9. 1.,https://cafe.naver.com/freecar?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D10606449%2526articleid%3D118263%2526menuid%3D360%2526boardtype%3DL,1.0,https://cafe.naver.com/freecar?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D10606449%2526articleid%3D118753%2526menuid%3D365%2526boardtype%3DL,,,,,,,,,,,,,,,,,,
포털카페,57,생성 AI 코리아,7229.0,2025. 9. 1.,https://cafe.naver.com/genai/3392,6.0,https://cafe.naver.com/genai?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D31015097%2526articleid%3D3546,,,,,,,,,,,,,,,,,,
포털카페,58,인공지능 유전자 알고리즘연구회,938.0,2025. 1. 1.,https://cafe.naver.com/geneticalgorithm/31096,0.0,https://cafe.naver.com/geneticalgorithm?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D18586206%2526articleid%3D31112,,,,,,,,,,,,,,,,,,
포털카페,59,AI스터디(AI툴에 대한 모든 정보와 수다),22568.0,2025. 9. 1.,https://cafe.naver.com/royaltyserver/13178,,,,,,,,,,,,,,,,,,,,
포털카페,60,Hacking Master,1164.0,2025. 1. 1.,https://cafe.naver.com/goingnow/30562,0.0,https://cafe.naver.com/goingnow?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D13106002%2526articleid%3D30576,,,,,,,,,,,,,,,,,,
포털카페,61,★공모탑★ 공모전/이벤트/경품/체험단/유머/연애/친목/UCC,2280.0,2025. 1. 1.,https://cafe.naver.com/gongmotop/16834,0.0,https://cafe.naver.com/gongmotop?iframe_url_utf8=%2FArticleRead.nhn%253Fclubid%3D24559985%2526articleid%3D17262,,,,,,,,,,,,,,,,,,
